1	39980000
2	94350000
3	94870000
4	92790000
5	94880000
6	93830000
7	94350000
8	94350000
9	93830000
10	93830000
11	98000000
12	93830000
13	93830000
14	93830000
15	93830000
16	93830000
17	93830000
18	98520000
19	93840000
20	93830000
21	84440000
22	84970000
23	84450000
24	84450000
25	84440000
26	84450000
27	84450000
28	84450000
29	84960000
30	84450000
31	80800000
32	73500000
33	76110000
34	75060000
35	70370000
36	79760000
37	79760000
38	79750000
39	79760000
40	79750000
41	56300000
42	56300000
43	56300000
44	56300000
45	56300000
46	51600000
47	56300000
48	51610000
49	56290000
50	51610000
51	56300000
52	51610000
53	56290000
54	60990000
55	56300000
56	56300000
57	56300000
58	56300000
59	56300000
60	56290000
61	60990000
62	72460000
63	81320000
64	68810000
65	81320000
66	75060000
67	75070000
68	75060000
69	75070000
70	76100000
71	81320000
72	75070000
73	62550000
74	68810000
75	68810000
76	68810000
77	69330000
78	68810000
79	68810000
80	68810000
81	81320000
82	93830000
83	94350000
84	93830000
85	94350000
86	93830000
87	93830000
88	100090000
89	88090000
90	93830000
91	100090000
92	93830000
93	93830000
94	94350000
95	93830000
96	93830000
97	93830000
98	93830000
99	94350000
100	93830000
