1	9860000
2	9380000
3	9390000
4	10420000
5	9390000
6	9380000
7	8340000
8	10430000
9	9380000
10	10420000
11	10430000
12	16160000
13	17720000
14	18770000
15	20850000
16	15640000
17	14590000
18	14600000
19	14600000
20	14590000
21	10430000
22	10420000
23	10430000
24	10420000
25	9390000
26	11470000
27	11460000
28	11470000
29	11470000
30	12510000
31	10430000
32	11460000
33	10430000
34	9380000
35	10430000
36	10420000
37	11470000
38	10430000
39	9380000
40	11470000
41	10420000
42	21900000
43	17200000
44	21890000
45	15640000
46	15640000
47	21900000
48	17200000
49	17200000
50	18770000
51	17200000
52	20330000
53	28670000
54	26060000
55	26070000
56	23450000
57	26070000
58	26060000
59	26070000
60	26060000
