1	99480000
2	93830000
3	94870000
4	93830000
5	96960000
6	93830000
7	93830000
8	94350000
9	93830000
10	99560000
11	93830000
12	93840000
13	93830000
14	90180000
15	98520000
16	82880000
17	70380000
18	65680000
19	66200000
20	65680000
21	56820000
22	51610000
23	60990000
24	56290000
25	65690000
26	51600000
27	56300000
28	60990000
29	65680000
30	60990000
31	52130000
32	51610000
33	42220000
34	37530000
35	38060000
36	46910000
37	46920000
38	37530000
39	28150000
40	32840000
41	42220000
42	51610000
43	51610000
44	46910000
45	46920000
46	52120000
47	51610000
48	42220000
49	46920000
50	56300000
51	51600000
52	56820000
53	60990000
54	47440000
55	42220000
56	42750000
57	42220000
58	47440000
59	46910000
60	42230000
