1	12280000
2	21900000
3	29710000
4	29710000
5	26590000
6	41700000
7	43790000
8	31270000
9	35450000
10	31280000
11	41700000
12	37530000
13	33360000
14	27110000
15	33360000
16	41710000
17	45870000
18	52650000
19	54210000
20	57340000
21	49520000
22	46920000
23	54730000
24	65680000
25	59950000
26	52130000
27	44310000
28	41700000
29	44310000
30	49520000
31	39100000
32	44310000
33	54730000
34	44310000
35	39090000
36	41710000
37	33880000
38	36490000
39	49520000
40	47440000
41	54730000
42	52650000
43	44310000
44	44310000
45	52650000
46	70370000
47	95400000
48	89660000
49	87570000
50	91220000
51	83930000
52	87580000
53	91220000
54	91220000
55	94880000
56	93310000
57	94870000
58	92270000
59	92260000
60	95400000
61	95910000
62	91750000
63	95910000
64	92790000
65	95920000
66	92260000
67	101130000
68	93830000
69	93830000
70	93830000
71	93830000
72	93830000
73	93830000
74	93830000
75	93830000
